variant,mode,eval_fbeta_mean,eval_fbeta_std,eval_fbeta_n,eval_precision_mean,eval_precision_std,eval_precision_n,eval_recall_mean,eval_recall_std,eval_recall_n,eval_loss_mean,eval_loss_std,eval_loss_n
baseline,best,0.9489414611865541,0.004380247732158106,4,0.5861490986662914,0.08465828871658802,4,0.9742448387213203,0.007950882004476953,4,0.002721433760598302,0.0007170047412682962,4
external_0,best,0.9488534337418408,0.008893097431405803,4,0.5559832636040885,0.09551708141393477,4,0.9780569833129844,0.008868771674758573,4,0.002899054146837443,0.0008855228270789977,4
external_50,best,0.9477882385310988,0.0060461029742045315,4,0.5749829381196022,0.08896377244366346,4,0.9744795574385877,0.009757417434379339,4,0.0028869356028735638,0.0009550667278428669,4
o_010,best,0.9505524359001154,0.018949070583567186,2,0.6886063918260655,0.0062166926230016045,2,0.9652429299412597,0.019832107567413423,2,0.0016590336454100907,0.00037216136448081367,2
